gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1382535324,1382535328.0,H1,64.0,0.11089762300252914,0.1295707672834396,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1382535324,1382535328.0,H1,128.0,0.1114165261387825,0.1295707672834396,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1386909468,1386909472.0,H1,4.0,0.12950369715690613,0.1295036971569061,2.7755575615628914e-17,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1386909468,1386909472.0,H1,16.0,0.1264037787914276,0.1295036971569061,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1386909468,1386909472.0,H1,64.0,0.12961605191230774,0.1295036971569061,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1386909468,1386909472.0,H1,128.0,0.1384146362543106,0.1295036971569061,,AMBIGUOUS,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1379654652,1379654656.0,H1,4.0,0.12948490679264069,0.1294848173856735,8.940696719084151e-08,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1379654652,1379654656.0,H1,16.0,0.1335875540971756,0.1294848173856735,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1379654652,1379654656.0,H1,64.0,0.12220902740955353,0.1294848173856735,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1379654652,1379654656.0,H1,128.0,0.13029712438583374,0.1294848173856735,,AMBIGUOUS,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1386325276,1386325280.0,H1,4.0,0.12944456934928894,0.1294445842504501,1.490116116609208e-08,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1386325276,1386325280.0,H1,16.0,0.12935476005077362,0.1294445842504501,,BACKGROUND,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1386325276,1386325280.0,H1,64.0,0.11826863139867783,0.1294445842504501,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1386325276,1386325280.0,H1,128.0,0.11716705560684204,0.1294445842504501,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1370926300,1370926304.0,L1,4.0,0.21960891783237457,0.219608873128891,4.470348358154297e-08,ROBUST,ROBUST,0.15031939417123752,0.21959366053342733,idxq4-64_queryq4-64
1370926300,1370926304.0,L1,16.0,0.2159927934408188,0.219608873128891,,AMBIGUOUS,AMBIGUOUS,0.14252088919281877,0.21626390442252097,idxq4-64_queryq4-64
1370926300,1370926304.0,L1,64.0,0.22216956317424774,0.219608873128891,,ROBUST,AMBIGUOUS,0.1372045400738714,0.23653336107730424,idxq4-64_queryq4-64
